,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,East London,ZA,-33.0153,27.9116,70.14,91,77,3.18,broken clouds
157,Pergamino,AR,-33.89,-60.5736,68.0,99,100,3.0,light rain
158,Ilulissat,GL,69.2167,-51.1,21.2,79,90,4.76,overcast clouds
159,Lagoa,PT,39.05,-27.9833,59.59,94,100,20.49,overcast clouds
160,Plaster Rock,CA,46.9065,-67.39,51.8,30,90,13.8,overcast clouds
161,Jizan,SA,17.3333,42.6667,80.6,61,0,2.55,clear sky
162,Ancud,CL,-41.8697,-73.8203,53.01,100,90,13.8,light rain
163,Broome,US,42.2506,-75.833,68.0,49,1,8.05,clear sky
164,Castro,BR,-24.7911,-50.0119,61.88,63,0,2.86,clear sky
165,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,84.65,54,84,9.75,broken clouds
166,Prince Rupert,CA,54.3161,-130.3201,41.0,93,90,8.05,light snow
167,Geraldton,AU,-28.7667,114.6,71.6,68,90,17.27,overcast clouds
168,Pelileo,EC,-1.3167,-78.5333,75.2,67,40,10.36,scattered clouds
169,Yelizovo,RU,53.1873,158.3805,35.6,48,0,4.47,clear sky
170,Qeshm,IR,26.9581,56.2719,77.0,78,1,6.91,clear sky
171,Margate,GB,51.3813,1.3862,41.0,72,100,8.01,overcast clouds
172,Conil,FR,44.9673,3.7177,37.47,94,100,6.62,overcast clouds
173,Kodiak,US,57.79,-152.4072,35.6,64,90,10.36,overcast clouds
174,Barranca,PE,-10.75,-77.7667,69.87,83,68,5.06,broken clouds
175,Torbay,CA,47.6666,-52.7314,33.01,100,90,18.41,snow
176,Alofi,NU,-19.0595,-169.9187,82.4,78,6,8.05,light rain
177,Hanmer Springs,NZ,-42.5167,172.8167,63.66,58,70,6.04,broken clouds
178,Tateyama,JP,34.9833,139.8667,55.4,62,20,16.11,few clouds
179,Nioaque,BR,-21.1353,-55.83,82.36,50,21,3.4,few clouds
180,Fare,PF,-16.7,-151.0167,82.2,74,38,11.12,scattered clouds
181,Tasiilaq,GL,65.6145,-37.6368,23.0,74,2,3.44,clear sky
182,Barcelos,PT,41.5388,-8.6151,55.99,94,40,3.53,scattered clouds
183,Caldwell,US,43.6629,-116.6874,61.0,21,1,18.41,clear sky
184,Shubarshi,KZ,48.5872,57.1869,44.69,70,43,12.64,scattered clouds
185,Ust-Nera,RU,64.5667,143.2,-4.9,92,98,9.6,overcast clouds
186,Vostok,RU,46.4856,135.8833,41.45,46,73,5.37,broken clouds
187,Poum,NC,-20.2333,164.0167,79.12,80,95,12.75,overcast clouds
188,Thunder Bay,CA,48.4001,-89.3168,51.8,71,90,8.05,overcast clouds
189,Portland,US,45.5234,-122.6762,52.0,40,75,11.5,broken clouds
190,Mantsala,FI,60.6609,25.2838,36.0,77,5,5.99,clear sky
191,Humboldt,US,40.6665,-123.9178,57.0,54,20,19.57,few clouds
192,Hoquiam,US,46.9809,-123.8893,48.99,61,20,18.41,few clouds
193,Mut,TR,36.6439,33.4389,40.93,73,71,18.23,broken clouds
194,Idil,TR,37.3411,41.8895,46.08,66,0,3.69,clear sky
195,Eucaliptus,BO,-17.5833,-67.5167,53.01,61,99,13.09,overcast clouds
196,Tabou,CI,4.423,-7.3528,79.83,84,100,7.47,overcast clouds
197,Harper,LR,4.375,-7.7169,80.58,82,99,7.31,overcast clouds
